dicom_path,pixel_read_success,pixel_read_error,file_sha256,pixel_sha256,pixel_dtype,pixel_height,pixel_width,pixel_min,pixel_max,pixel_mean,pixel_std,nonzero_fraction,is_constant
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587294_e634830794f5c1bd_MG_R_CC_ANON.dcm,True,,90ba77d22ce56a89697f5a5ef2cf8929ded07e3771fc6f62e774724e0bde2b09,ad83c06b2bd8b93b60e2f361714b09ae461aa6773c894450e02c21d794047ee5,uint16,3328,2560,0.0,2068.0,586.4306640625,739.499267578125,0.38880216158353365,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587320_e634830794f5c1bd_MG_L_CC_ANON.dcm,True,,f23e1044e528a5c7152ee68d6157c706b77c55b967c752b2c758cba27b1dc3a2,fa70d45d1cfad60bafd49e148e0bfb9053b530ea413c97e5ac6a3b4ec0539555,uint16,3328,2560,0.0,2699.0,642.2518920898438,749.9403076171875,0.42601600060096156,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587346_e634830794f5c1bd_MG_R_ML_ANON.dcm,True,,8fafff5e0371df9897fad90e60a26415f5e8479a3f5e19360a9218d6ecb93cc6,7d58811da6dbf6a434898ddb58af0d46c870546d6b814da30c0133e05fd01641,uint16,3328,2560,0.0,2253.0,706.4496459960938,755.571044921875,0.4720669086162861,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587372_e634830794f5c1bd_MG_L_ML_ANON.dcm,True,,7aa4d960033c8959fdd923bcea6b8b2574fef160519939031f9d3abc2a766e7b,e40665016cebaace0aa30eaa035fa67473abbb515401c4d0610f6541e31bf43a,uint16,3328,2560,0.0,2524.0,792.4993896484375,753.730712890625,0.5299038226787861,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587466_d571b5880ad2a016_MG_L_CC_ANON.dcm,True,,ed504da364d391cc68ea0ee79c4dc08942896930ce245281e7669a53839a6d5f,030b9375f7aaccc19f7b244c43827cfeb03a5e416bf9c5ae011707a19009a027,uint16,3328,2560,0.0,2145.0,229.47218322753906,524.1453247070312,0.16773763803335337,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587492_d571b5880ad2a016_MG_R_ML_ANON.dcm,True,,1b68290504271116a0ff5cff631f68929ac546ca3e1e4ce78826051a3b2e3920,1f214f96bfe3aa771b6b33d2a89ba85eab376d011f2fde50f8f8245005bfd34a,uint16,3328,2560,0.0,2201.0,261.474853515625,548.4015502929688,0.19321148212139422,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587518_d571b5880ad2a016_MG_L_ML_ANON.dcm,True,,7b9804fbdc9e80c31210dc2210c972320efb5f2b81f80ed917d9d3455d98ae88,309fc81ee94ab10bbadd64a8fd455efdfee2e622aa5896b8a1afb8518a5f9e6a,uint16,3328,2560,0.0,2155.0,309.70208740234375,575.0333251953125,0.23621661846454328,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587544_d571b5880ad2a016_MG_R_CC_ANON.dcm,True,,b513af41dbf0c38dd1b35e8cca6951aca2c46473a1f2df12871b9827a586cdaf,849eac8993128e401c917a092609d142a0db86bdb3c3dd0e98894090fcbf8eb9,uint16,3328,2560,0.0,2159.0,201.37855529785156,494.2436828613281,0.1491466815655048,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587612_f4b2d377f43ba0bd_MG_R_CC_ANON.dcm,True,,3d8350b9cfe962b6db3c818147881bb4fb7b626fa1e5698224641fb508353353,bc7f74dcfd5e62b55a50085308fcc4b0637782241987ac711a3d489f0f7781c7,uint16,4084,3328,0.0,3304.0,549.0022583007812,727.223876953125,0.36672640475495366,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587638_f4b2d377f43ba0bd_MG_L_CC_ANON.dcm,True,,93064e7ebc03cc56e252ec3776aab3519d6a50792c2d399634b42c7ec888e153,21920642231553b60642f19070cde0d6ec86bc23ec3ee6bec93a910ba7aef862,uint16,4084,3328,0.0,2893.0,541.9752807617188,723.287353515625,0.3629781941017479,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587664_f4b2d377f43ba0bd_MG_R_ML_ANON.dcm,True,,7e48ec352be88404c97face14bf74160fd6fbcf917e7d51088dffb5e98ec5a0a,1f901fa0cc51c26ca2e3d5ac853ad7b4f86894dc73fb01ef5155eb5c70b5c0b3,uint16,4084,3328,0.0,2978.0,605.5481567382812,733.837158203125,0.41005942514879834,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587690_f4b2d377f43ba0bd_MG_L_ML_ANON.dcm,True,,048ea2ec2f1a62d4a4cd9b2ea233f17e7de2cf07a5fb2583f297e22f4ad691b6,3150b085a08b6f67bc4c75e7bffed968be4a220829e2250e138b2677011270cd,uint16,4084,3328,0.0,3480.0,616.4620971679688,725.8026733398438,0.4264752840588036,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587758_81cd83d2f4d78528_MG_L_CC_ANON.dcm,True,,7dc72804b48e63a1851001866acecbdf55c3b6fa8b5f48f56835361a2f1af172,fce3d0fce7c1f44a0c52b7f3fa4d320649af1cc52deb2937cd6efa96f66e8213,uint16,3328,2560,0.0,2393.0,514.6043090820312,685.242431640625,0.37033527080829326,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587784_81cd83d2f4d78528_MG_R_ML_ANON.dcm,True,,8a9549ce4d836a631d9d0378cdb83d28ff8791f3171d0e71ebcbf2be1ce5318e,ee2c629772ffbb1dab0a363a48de1424a7aff3ee1f7787d50540397a5b984219,uint16,3328,2560,0.0,2260.0,573.9268798828125,706.7446899414062,0.4058049128605769,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587810_81cd83d2f4d78528_MG_L_ML_ANON.dcm,True,,89b397160a05eba39ee65f3658fea180cb1bbbd5e21b87c93e0f4b2de340b882,1a06c21f54090a47efb520f1d32b1b4b7a1f1770b8444cee5ac6fbb85c6c82f2,uint16,3328,2560,0.0,2326.0,645.6485595703125,710.6815185546875,0.46304297814002404,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587836_81cd83d2f4d78528_MG_R_CC_ANON.dcm,True,,c2aa9e1d2bcc09d3134736aadf425374ff8c41d311614549e1d3977fe32f3574,53a884910e1cb1249970ffe95ed27ccbad70bf75414bda57ce2b666848326778,uint16,3328,2560,0.0,2217.0,437.3154296875,663.174560546875,0.30973217303936296,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587902_8dbbd4e51f549ff0_MG_R_CC_ANON.dcm,True,,bf8477ab935bd33fe681dafed29f8f16573df7cf76cf72beb983451e44463a75,58e16297b734f51f70f89e2d6100b4ac5fd4faa2d3b168210a324084ee8b04e8,uint16,3328,2560,0.0,2158.0,315.4690856933594,587.6384887695312,0.23338024432842547,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587928_8dbbd4e51f549ff0_MG_R_ML_ANON.dcm,True,,c5aae378b23d154bb524eb59a7637f37f1b4b1e4e6871056eb1cbeae654378ce,c285d14cc5ea78437c7afe352936d042bf822ad357902495effe3e98834cec08,uint16,3328,2560,0.0,2316.0,422.23590087890625,622.8556518554688,0.32902397742638223,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587994_024ee3569b2605dc_MG_R_CC_ANON.dcm,True,,1a6eff98c1093bec258a27ab61d7a6735a933941268e3d7b8cb7589147b8aa51,1f974a40c8db8494a88c65e26ddb8f0bed9724ed880a231e4abe8581fd3c6fe5,uint16,3328,2560,0.0,2722.0,557.331298828125,722.77685546875,0.3782474224384014,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588020_024ee3569b2605dc_MG_L_CC_ANON.dcm,True,,7733cc36f81e8e0bddfbffc327f51b675abf9036b06a94716fac229212a438e5,beb2568259334012f2ea219aace0f2ea4112bc5c0a2e67baaf775f655f5f0893,uint16,3328,2560,0.0,2226.0,584.9688110351562,728.5213012695312,0.3968785212590144,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588046_024ee3569b2605dc_MG_R_ML_ANON.dcm,True,,a4004ffe1115404985b9be3fe1af957b5d66e33787264f19ee63fc1bd6b093cd,336bedaf154d7d158567c6b9a7048f2a352d0dd28c9058dd16bcfabad92ae0f8,uint16,3328,2560,0.0,2442.0,744.28955078125,761.4251098632812,0.4982889028695913,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588072_024ee3569b2605dc_MG_L_ML_ANON.dcm,True,,9ce000e0097b6a729b3e7e491ab002bd35fde6d43dafa244164325f33427115a,6813be99ceedee1bdab0502a301b3a49f11eb4095c1a24c492805106fe3f978b,uint16,3328,2560,0.0,2334.0,704.4138793945312,744.1571655273438,0.4803752018855168,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588138_8d0b9620c53c0268_MG_R_ML_ANON.dcm,True,,c087c30388d2e535f7ffd42e2d6cd282e211cfaf172962e8e9aecbfa64e46a04,0bb2c385fdaeab0bee3227ff019c8d85c7bcea9c7dd3e4f33579daf10133efd2,uint16,3328,2560,0.0,2211.0,617.4597778320312,714.2798461914062,0.43628117487980766,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588164_8d0b9620c53c0268_MG_R_CC_ANON.dcm,True,,32a61c8c9217eadd8faa2ebc234f119efc9451bc6c41e2210c45a8c0cdf16e6d,01189435fa9c8b38e6551d3263e8e0c0d340b7a7cc368d4dc06dae127a254ec6,uint16,3328,2560,0.0,2364.0,466.89984130859375,678.5916137695312,0.3274009117713341,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588190_8d0b9620c53c0268_MG_L_CC_ANON.dcm,True,,b37b0ebca9584db3996a69a5da6039709a46830b31155ace01ae0342b40a0392,09c65169e9f8734a348aa01d285d9d728228e89ad0af7a3933abaaee5394b3e2,uint16,3328,2560,0.0,2013.0,433.4796447753906,661.1773071289062,0.30651714618389425,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588216_8d0b9620c53c0268_MG_L_ML_ANON.dcm,True,,0f457b06a97648832e5ea7efc0a485194cf0f5e07de3a1a572e5450d9ee97cf6,2f258178e339c91188c3b76869fde148ab6177727bcca09df512fb7b70f6920f,uint16,3328,2560,0.0,2196.0,617.4193725585938,723.8798217773438,0.4297248253455529,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588308_493155e17143edef_MG_L_ML_ANON.dcm,True,,e2ca2a0ae9f574ed4ead0041f1d6e7253f397a3c22a256da71b66e1e0ea10aad,90081ec5b6f924c3ea3e65efa998f89bc6ca7f1886eba01faaa47ab1f3b7642a,uint16,3328,2560,0.0,2118.0,364.4743957519531,615.213623046875,0.2669189453125,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588334_493155e17143edef_MG_L_CC_ANON.dcm,True,,dfbc7bdbfeee0a9f23a286e7190f50f8a4785f423fa4688e23d2a9ac5b25a152,16b374ef71ee4c36fbfc76c222d78c72a84f1379b4773f2110cef4c17c672c18,uint16,3328,2560,0.0,2020.0,258.627685546875,553.0625,0.18434647780198318,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588458_bf1a6aaadb05e3df_MG_R_CC_ANON.dcm,True,,9a8f5148d97418494867e53f6a339f81dce7d93dce37876f41484e12892fc174,68f3d78a19242ea8cf58967dc33bc836e0ec4266cc23f4de27c35446360c5560,uint16,3328,2560,0.0,2376.0,525.322021484375,711.8239135742188,0.35919271615835335,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588510_bf1a6aaadb05e3df_MG_R_ML_ANON.dcm,True,,e22ada649b2524e839f89a5eb867b21f3faa10e15bc4a2c46e00205718a60823,bd3c798177d1c05f6d4463a933519da880cede694506d5a9ddbd2d5172d26014,uint16,3328,2560,0.0,2346.0,727.3771362304688,759.0032348632812,0.48991241455078127,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588536_bf1a6aaadb05e3df_MG_L_ML_ANON.dcm,True,,e3b2b7b884a323608b983ad7e350618c3293c2d98d1caeddfab241e9ca31b3b3,bddd35c03dbb3d88b4aaaeb4b42a945a44aec2ee8fa3793bc667148deadc7d97,uint16,3328,2560,0.0,2464.0,705.088134765625,742.3990478515625,0.4899550217848558,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588562_bf1a6aaadb05e3df_MG_L_CC_ANON.dcm,True,,6e0728200edeb93f95896bb0c0507f6bfe762ee7cd0f4647e58b962cba1cc180,c5a510fb351acf5209de4a3065ddcb0cfc13c3542e8e1bf6bdd0e4d5b7d0208f,uint16,3328,2560,0.0,2433.0,650.3151245117188,742.0892944335938,0.4482080312875601,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588654_036aff49b8ac84f0_MG_R_ML_ANON.dcm,True,,37bd74e16ef1f5a33570eaf7f6846b54681c6dc1704ae545b53375275c726d1b,66ff1c120acdf05cc75c794eafa8a8db3d03a8a7eb9c93636d6528e3ce125aec,uint16,4084,3328,0.0,3143.0,509.1622314453125,713.3389282226562,0.3456267540307391,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20588680_036aff49b8ac84f0_MG_L_ML_ANON.dcm,True,,ab256f9c768859ac65de0253cb13d695159f1e62045b30800e64bf74da477e6b,211558260069f5a9eca2dd4811e0527fbdddc3568fa95ff45aff73601177c11f,uint16,4084,3328,0.0,3428.0,576.1962280273438,738.9730224609375,0.3868324235525126,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427682_d713ef5849f98b6c_MG_R_CC_ANON.dcm,True,,d81885ba5346d4304515109a610dbfd63fc367139046d227ff392f6da88c8fc9,584974b755a04f1bc569881c74b8c6aedbee20b8e080ca123c16a6da88ec2e95,uint16,4084,3328,0.0,2795.0,509.0345153808594,708.9083862304688,0.34475172518929403,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427705_d713ef5849f98b6c_MG_L_CC_ANON.dcm,True,,bae53b7b56ef0868f714c08a5f6cebaa2632742ac570b29dfdf04024498a3cfd,25bc72d8113396420d6742396b177b284553b4939a320472af19a5ecdfa706cc,uint16,4084,3328,0.0,2184.0,405.0543518066406,664.1000366210938,0.2753300726804415,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427728_d713ef5849f98b6c_MG_R_ML_ANON.dcm,True,,cb920ad23fb1a5bd10781751a0c092079e059312247c5c1c5dc2cbc875419898,38274d4825b7fdba55ed0330393407a40ee6ac1da27d85ee875272483a248d65,uint16,4084,3328,0.0,2946.0,660.6682739257812,752.3781127929688,0.44654966555695774,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427751_d713ef5849f98b6c_MG_L_ML_ANON.dcm,True,,ba3227595a623c1a090714f5a091cc2093747548cd66a385c2edf4cccf4358f4,cb83936c5987e294a31c2d1a913875defefbb68b6ea701f1df5690094789571d,uint16,4084,3328,0.0,3531.0,558.5546264648438,725.412841796875,0.38235486278535374,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427840_bbd6a3a35438c11b_MG_R_CC_ANON.dcm,True,,1638cfab49bea11b0dde2565a4b867e3eb3d595c3d564c1a1508c657f439c482,68a3eb7279894bd02294919f9e650560e08a4f52305f682ff55ff879a2de21c1,uint16,3328,2560,0.0,2718.0,296.98828125,596.9948120117188,0.20340317946213943,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22427864_bbd6a3a35438c11b_MG_L_CC_ANON.dcm,True,,d51a8674676eef042c62b7056279a8596b6f28cccb2888b3281e9d2e0494b86f,79ce5c9f8e907768139a7cdb3c683306848ad83cdeaa1771d33fe85162e2d59a,uint16,3328,2560,0.0,2172.0,435.95220947265625,679.3515014648438,0.2950719980093149,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579730_bbd6a3a35438c11b_MG_R_ML_ANON.dcm,True,,d6cc8ddfa9dedfbb2b5dff54b7763689b7ef1c6caf3b7105aa071ad3f8828a58,37594b534a0db7da88d37db0f40a2146fdab9667d2a2498dcfe781366df17f68,uint16,3328,2560,0.0,2871.0,465.8464050292969,677.3655395507812,0.3295196533203125,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579754_bbd6a3a35438c11b_MG_L_ML_ANON.dcm,True,,8136db4a739295be1b545425e83daadfb806966d26357e4663744890b3797f6f,9fe84f8c073341bc8c58182d1e4c84907f2f5d56ac1a4722e65b0f457406767e,uint16,3328,2560,0.0,2626.0,531.6715087890625,692.7578735351562,0.37931905893179085,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579847_301f1776aebbf5d2_MG_R_CC_ANON.dcm,True,,4171fb67c7f9d64d4374a20ed934d5f2e5ec593b653eafe803178082de18516f,48c2545f5c9106b107d85c268ed6b66dc5a8f60af6aa60fd4c79446852abdcb2,uint16,3328,2560,0.0,2159.0,408.9951171875,660.9406127929688,0.28323587270883416,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579870_301f1776aebbf5d2_MG_L_CC_ANON.dcm,True,,d2c045ba2fd7cd16dcbe3ddc303fd144b8a0a99ce273d4f0ac796705d1dca4a3,68841b56ed475417f21e2ea2013636798c4fb5cb80d54c2402a1662d8f0e38c0,uint16,3328,2560,0.0,2350.0,376.57861328125,633.130615234375,0.2688914372370793,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579893_301f1776aebbf5d2_MG_R_ML_ANON.dcm,True,,38427ce7822d261458713d24ca8adde0c49eb0e27dae184827865f931c486c98,920201adf688062b37d9aecd55ba21d25bb6ae90a8c6dcbf8da6096d5ab516df,uint16,3328,2560,0.0,2231.0,543.0135498046875,684.5680541992188,0.39509394719050484,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22579916_301f1776aebbf5d2_MG_L_ML_ANON.dcm,True,,be2fa23c037e1f804b1195a04cef7e3b2ce29b153525854387261faf37c4352e,e2ef39778f2f8e41b53b3250a04f7aa673b07cb3f0e3b5bc9d8c362192ffca6b,uint16,3328,2560,0.0,2649.0,474.6304626464844,651.2442016601562,0.3607147216796875,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580015_6200187f3f1ccc18_MG_R_CC_ANON.dcm,True,,0ba968778f1414f56d8cc3d6f2e6b882fc46f8db8e6fc96118582899125dc396,83c4089e818ddbb94c03679012e6b3f20152df288beabd1266f7203bd7cca271,uint16,3328,2560,0.0,3846.0,484.13018798828125,704.0201416015625,0.3240220289963942,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580038_6200187f3f1ccc18_MG_L_CC_ANON.dcm,True,,9f446abb369a91dba2feece3647e96370bb38e078f6ac18cc804890964ad1701,ba74b84dcfb122cd060d91f9e1ef4fdee0be3113b0bdd759f70f07ca9b92b8a8,uint16,3328,2560,0.0,3288.0,500.49041748046875,709.9524536132812,0.33621544471153847,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580068_6200187f3f1ccc18_MG_R_ML_ANON.dcm,True,,56847201d0bda6d5de826751167f488e3f4dcaf7b99c295bdc03871b3ec8b6cd,569cb3f539cbaa98c7399d6222056fa5f617491d078bc251fd51c1054f0bd6c2,uint16,3328,2560,0.0,3992.0,595.48046875,748.1376953125,0.39473184438852166,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580098_6200187f3f1ccc18_MG_L_ML_ANON.dcm,True,,5f0b097154b4117ea61d18456006e82258c55815722d118d5604ff40823c1f7d,80b4eddcae96ce00b3e18f38a10b30a3b17a6f4201133c58d2a9f92c1d67ed8c,uint16,3328,2560,0.0,3515.0,619.8110961914062,742.8421630859375,0.4167921799879808,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580192_5530d5782fc89dd7_MG_R_CC_ANON.dcm,True,,c0a6a2c09f8a267b072e5384284b4d6d97393d9f94c770270391cc096583dc95,b22793c8a5265c31fc82a3679042cb8aece5b8e56857bd712fe34dce5d8f8627,uint16,3328,2560,0.0,2290.0,548.5921630859375,719.8198852539062,0.37119246262770433,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580218_5530d5782fc89dd7_MG_L_CC_ANON.dcm,True,,5f19239ab9688747260dffabe88c20fea70b7e2f2b6f66c2ce40b67b5bbfde98,206927807eb895577025f3d8870cdd49af84384fc01101f30324e39e08435c5e,uint16,3328,2560,0.0,2256.0,532.0311279296875,709.7059326171875,0.3641125018780048,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580244_5530d5782fc89dd7_MG_R_ML_ANON.dcm,True,,1f20249b7f4cbf162c1cb12ba91589368bd9ffa99e08620cf5697a5cc5376018,38e0e4e2aba0b0113deb1a4938bca4617dec33b77a0ae58c4b6b66ae6bd21937,uint16,3328,2560,0.0,2275.0,692.650390625,753.1554565429688,0.4687916682316707,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580270_5530d5782fc89dd7_MG_L_ML_ANON.dcm,True,,a58086fe4a33ebfb1d32d272b055b36e05a1d6128a581fedb85cbe9a6b6a226c,67eaced68ff2e029fc9c3885b29dc1048e3e589e96a096e3d8828fff6566e231,uint16,3328,2560,0.0,2227.0,643.3757934570312,720.5575561523438,0.45340001032902644,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580341_5eae9beae14d26fd_MG_R_CC_ANON.dcm,True,,7dbd19f5efce9bb1dc844278fe1e4c8aa2005d1e2966d9756dd3726d3c3d93ac,1747f499a6b51c859915ac2b49b675bd1bb7220812b15b827cc1eff68b721e9f,uint16,3328,2560,0.0,2173.0,325.43511962890625,598.3912353515625,0.23619537353515624,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580367_5eae9beae14d26fd_MG_L_CC_ANON.dcm,True,,b8e2f528d95634d50d59ea51e7c076e343830807d207807832b41cc628faa4e9,c01bcb375ad259023edb0009ec38150006689b737d63d7ed9e5a353aed5b04e3,uint16,3328,2560,0.0,2302.0,339.884521484375,608.2904052734375,0.24702007587139424,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580393_5eae9beae14d26fd_MG_R_ML_ANON.dcm,True,,dab2b688ee1b87d666ef0023756bfdd02bb80078e8a4b3f3e41709425cd774f3,76cc099a03c5875a00af2a4eac0f2b18a3e85ca276feaa6a9efcaa0f481b036a,uint16,3328,2560,0.0,2107.0,402.5263671875,626.40234375,0.3010716364933894,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580419_5eae9beae14d26fd_MG_L_ML_ANON.dcm,True,,167e010a23552dc8f63e71dcf9e1977d1203abd7a0bd7f8af4cb8221a39ff63f,6977eebea8fd201565b7f732913673882fc977cc258dc06bcfdcdfdf17b91a15,uint16,3328,2560,0.0,2185.0,454.5831604003906,659.5432739257812,0.33073519193209133,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/22580492_2a5b932da4ce5ca1_MG_R_CC_ANON.dcm,True,,546e76c72b01f9614fbb2cc173ad5d1439e073d083c183b206415c4ce50219dc,458233bb7856ad6d695735de9c0a85e4f2a59d56f68d11f69120e521742b5e47,uint16,3328,2560,0.0,2316.0,387.5773010253906,657.332275390625,0.26209212083082933,False
